[Timex Trainer Data File]
[session data]
version=1.2_mm/dd/yyyy
Sessiondate=1/7/2005 12:00:43
sportName=Running
sportID=3
distanceunit=mi
avgspeedunit=0
maxspeedunit=0
avgpaceunits=0
maxpaceunits=0
distance=3.999
duration=2677
description=Sample workout - a run near Timex building^^speed/distance/position/altitude PLUS Heart Rate
sessionType=20
maxHR=192
maxSpeed=7.8
avgHR=169
avgSpeed=5.4
fromDataRecorder=True
TimeZone1=60
TimeZone2=120
TimeZone3=60
TimeZone4=240
TimeZone5=2160

[recorded]
duration(s),hr,speed(mph),distance(mi),data_flag,longitude,latitude,altitude,acqstatus,trueheading,magheading
"0","74","0","0","0","0","0","0","0","0","0"
"2","68","0","0","0","0","0","0","0","0","0"
"4","68","0","0","0","0","0","0","0","0","0"
"6","67","0","0","0","0","0","0","0","0","0"
"8","69","0","0","0","0","0","0","0","0","0"
"10","69","0","0","0","0","0","0","0","0","0"
"12","71","0","0","0","0","0","0","0","0","0"
"14","73","0","0","0","0","0","0","0","0","0"
"16","72","0","0","0","0","0","0","0","0","0"
"18","69","0","0","0","0","0","0","0","0","0"
"20","78","0","0","0","0","0","0","0","0","0"
"22","87","0","0","0","0","0","0","0","0","0"
"24","83","0","0","0","0","0","0","0","0","0"
"26","83","0","0","0","0","0","0","0","0","0"
"28","86","0","0","0","0","0","0","0","0","0"
"30","100","0","0","0","0","0","0","0","0","0"
"32","108","0","0","0","0","0","0","0","0","0"
"34","108","0","0","0","0","0","0","0","0","0"
"36","108","0","0","0","0","0","0","0","0","0"
"38","111","0","0","0","0","0","0","0","0","0"
"40","115","0","0","0","0","0","0","0","0","0"
"42","115","0","0","0","0","0","0","0","0","0"
"44","119","0","0","0","0","0","0","0","0","0"
"46","120","0","0","0","0","0","0","0","0","0"
"48","122","0","0","0","0","0","0","0","0","0"
"50","123","0","0","0","0","0","0","0","0","0"
"52","125","0","0","0","0","0","0","0","0","0"
"54","127","0","0","0","0","0","0","0","0","0"
"56","128","0","0","0","0","0","0","0","0","0"
"58","131","0","0","0","0","0","0","0","0","0"
"60","132","0","0","0","0","0","0","0","0","0"
"62","133","0","0","0","0","0","0","0","0","0"
"64","136","0","0","0","0","0","0","0","0","0"
"66","134","0","0","0","0","0","0","0","0","0"
"68","134","0","0","0","0","0","0","0","0","0"
"70","138","0","0","0","0","0","0","0","0","0"
"72","143","0","0","0","0","0","0","0","0","0"
"74","144","0","0","0","0","0","0","0","0","0"
"76","145","0","0","0","0","0","0","0","0","0"
"78","145","0","0","0","0","0","0","0","0","0"
"80","146","0","0","0","0","0","0","0","0","0"
"82","145","0","0","0","0","0","0","0","0","0"
