[Timex Trainer Data File]
[session data]
version=1.2_mm/dd/yyyy
Sessiondate=1/6/2005 12:03:12
sportName=Running
sportID=3
distanceunit=mi
avgspeedunit=0
maxspeedunit=0
avgpaceunits=0
maxpaceunits=0
distance=3.75
duration=1937
description=Sample workout - run around Timex neighborhood^^   speed/distance/position/altitude
sessionType=5
maxHR=0
maxSpeed=9.8
avgHR=0
avgSpeed=6.99
fromDataRecorder=True
TimeZone1=0
TimeZone2=0
TimeZone3=0
TimeZone4=0
TimeZone5=0

[recorded]
duration(s),hr,speed(mph),distance(mi),data_flag,longitude,latitude,altitude,acqstatus,trueheading,magheading
"0","0","1.8","0","2","-73.1488","41.51382","797","3","122","136"
"3.57","0","1.4","0","2","-73.14875","41.51379","798","3","122","138"
"7.14","0","3.6","0.005","2","-73.14875","41.51379","799","3","122","138"
"10.71","0","5.8","0.01","2","-73.14875","41.51379","801","3","122","138"
"14.28","0","8","0.016","2","-73.14856","41.5136","803","3","162","176"
"17.85","0","8.5","0.025","2","-73.14854","41.51349","802","3","166","180"
"21.42","0","8.2","0.034","2","-73.1485","41.51334","798","3","170","184"
"24.99","0","8","0.043","2","-73.14848","41.51324","799","3","174","188"
"28.56","0","7.9","0.051","2","-73.14845","41.51311","797","3","178","194"
"32.13","0","8.3","0.059","2","-73.14845","41.51311","795","3","178","194"
"35.7","0","8.7","0.067","2","-73.14848","41.51289","794","3","186","200"
"39.27","0","7.3","0.076","2","-73.1485","41.51274","788","3","186","200"
"42.84","0","9.6","0.085","2","-73.14852","41.51263","782","3","186","200"
"46.41","0","9.1","0.092","2","-73.14852","41.51263","780","3","186","200"
"49.98","0","8.6","0.099","2","-73.14852","41.51263","778","3","186","200"
"53.55","0","8.1","0.107","2","-73.14852","41.51263","776","3","186","200"
"57.12","0","7.6","0.115","2","-73.14852","41.51221","774","3","180","194"
"60.69","0","8","0.124","2","-73.14852","41.51221","772","3","180","194"
"64.26","0","8.4","0.133","2","-73.1485","41.51193","771","3","164","178"
"67.83","0","8.7","0.141","2","-73.14841","41.51186","767","3","158","172"
