[Timex Trainer Data File]
[session data]
version=1.0
Sessiondate=1/3/2005 2:45:06 PM
sportName=Running
sportID=3
distanceunit=mi
avgspeedunit=0
maxspeedunit=0
avgpaceunits=0
maxpaceunits=0
distance=11.2
duration=5326
description=Sample Workout - Heart Rate and Speed & Distance
sessionType=20
maxHR=179
maxSpeed=15.8
avgHR=153
avgSpeed=7.34
fromDataRecorder=True
TimeZone1=240
TimeZone2=360
TimeZone3=1080
TimeZone4=1620
TimeZone5=2040

[recorded]
duration(s),hr,speed(mph),distance(mi),data_flag
0,113,0,0,0
2,114,0,0,0
4,115,0,0,0
6,116,0,0,0
8,116,0,0,0
10,118,0,0,0
12,121,0,0,0
14,123,0,0,0
16,123,0,0,0
18,128,0,0,0
20,128,0,0,0
22,128,0,0,0
24,128,0,0,0
26,128,0,0,0
28,128,0,0,0
30,128,0,0,0
32,128,0,0,0
34,126,0,0,0
36,126,0,0,0
38,126,0,0,0
40,130,0,0,0
42,131,0,0,0
44,132,0,0,0
46,133,0,0,0
48,133,0,0,0
50,133,0,0,0
52,133,0,0,0
54,133,0,0,0
56,133,0,0,0
58,133,0,0,0
60,133,0,0,0
62,133,0,0,0
64,133,0,0,0
66,133,0,0,0
68,133,0,0,0
70,133,0,0,0
72,133,0,0,0
74,133,0,0,0
76,133,0,0,0
78,133,0,0,0
80,133,0,0,0
82,133,0,0,0
84,133,0,0,0
86,133,0,0,0
88,133,0,0,0
90,133,0,0,0
92,133,0,0,0
94,133,0,0,0
96,133,0,0,0
98,133,0,0,0
100,133,0,0,0
102,133,0,0,0
104,133,0,0,0
106,133,0,0,0
108,133,0,0,0
110,133,0,0,0
112,131,0,0,0
114,127,0,0,0
116,127,0,0,0
118,127,0,0,0
120,127,0,0,0
122,129,0,0,0
124,128,0,0,0
126,128,0,0,0
128,127,0,0,0
130,127,0,0,0
132,127,0,0,0
134,127,0,0,0
136,127,0,0,0
138,127,0,0,0
140,127,0,0,0
142,127,0,0,0
144,127,0,0,0
146,114,0,0,0
148,110,0,0,0
150,110,0,0,0
152,92,0,0,0
154,89,0,0,0
156,98,0,0,0
158,110,0,0,0
160,114,0,0,0
162,115,0,0,0
164,115,0,0,0
166,115,0,0,0
168,115,0,0,0
170,119,0,0,0
172,119,0,0,0
174,119,0,0,0
176,119,0,0,0
178,119,0,0,0
180,119,0,0,0
182,119,0,0,0
184,119,0,0,0
186,119,0,0,0
188,118,0,0,0
190,124,0,0,0
192,125,0,0,0
194,127,0,0,0
196,127,0,0,0
198,127,0,0,0
200,127,0,0,0
202,130,0,0,0
204,130,0,0,0
206,130,0,0,0
208,130,0,0,0
210,130,0,0,0
212,130,0,0,0
214,130,0,0,0
216,130,0,0,0
218,130,0,0,0
220,130,0,0,0
222,130,0,0,0
224,130,0,0,0
226,130,0,0,0
228,130,0,0,0
