[Timex Trainer Data File]
[session data]
version=1.0
Sessiondate=1/1/2005 9:27:26 AM
sportName=Running
sportID=3
distanceunit=mi
avgspeedunit=0
maxspeedunit=0
avgpaceunits=0
maxpaceunits=0
distance=0
duration=3298
description=Sample Workout - Heart Rate Only
sessionType=0
maxHR=111
maxSpeed=0
avgHR=81
avgSpeed=0
fromDataRecorder=True
TimeZone1=2940
TimeZone2=360
TimeZone3=0
TimeZone4=0
TimeZone5=0

[recorded]
duration(s),hr,speed(mph),distance(mi),data_flag
0,87,0,0,0
2,83,0,0,0
4,83,0,0,0
6,88,0,0,0
8,89,0,0,0
10,89,0,0,0
12,89,0,0,0
14,90,0,0,0
16,90,0,0,0
18,96,0,0,0
20,96,0,0,0
22,76,0,0,0
24,76,0,0,0
26,76,0,0,0
28,87,0,0,0
30,87,0,0,0
32,87,0,0,0
34,89,0,0,0
36,89,0,0,0
38,89,0,0,0
40,91,0,0,0
42,88,0,0,0
44,86,0,0,0
46,84,0,0,0
48,84,0,0,0
50,91,0,0,0
52,91,0,0,0
54,86,0,0,0
56,80,0,0,0
58,80,0,0,0
60,84,0,0,0
62,87,0,0,0
64,87,0,0,0
66,88,0,0,0
68,88,0,0,0
70,84,0,0,0
72,85,0,0,0
74,85,0,0,0
76,88,0,0,0
78,88,0,0,0
80,88,0,0,0
82,84,0,0,0
84,85,0,0,0
86,85,0,0,0
88,89,0,0,0
90,89,0,0,0
92,89,0,0,0
94,90,0,0,0
96,90,0,0,0
98,92,0,0,0
100,93,0,0,0
102,93,0,0,0
104,92,0,0,0
106,92,0,0,0
108,95,0,0,0
110,95,0,0,0
112,95,0,0,0
114,96,0,0,0
116,96,0,0,0
118,96,0,0,0
120,98,0,0,0
122,98,0,0,0
124,98,0,0,0
126,94,0,0,0
128,94,0,0,0
130,89,0,0,0
132,85,0,0,0
134,85,0,0,0
136,84,0,0,0
138,84,0,0,0
140,82,0,0,0
142,83,0,0,0
144,83,0,0,0
146,84,0,0,0
148,84,0,0,0
150,84,0,0,0
152,88,0,0,0
154,89,0,0,0
156,85,0,0,0
158,85,0,0,0
160,85,0,0,0
162,92,0,0,0
164,91,0,0,0
166,91,0,0,0
168,82,0,0,0
170,84,0,0,0
172,87,0,0,0
174,87,0,0,0
176,88,0,0,0
178,84,0,0,0
180,82,0,0,0
182,82,0,0,0
184,84,0,0,0
186,84,0,0,0
188,78,0,0,0
190,73,0,0,0
192,73,0,0,0
194,82,0,0,0
196,80,0,0,0
198,80,0,0,0
200,78,0,0,0
202,80,0,0,0
204,87,0,0,0
206,91,0,0,0
208,91,0,0,0
210,90,0,0,0
212,89,0,0,0
214,89,0,0,0
216,85,0,0,0
218,86,0,0,0
220,86,0,0,0
222,89,0,0,0
224,91,0,0,0
226,92,0,0,0
228,91,0,0,0
230,91,0,0,0
232,92,0,0,0
234,93,0,0,0
236,87,0,0,0
238,81,0,0,0
240,81,0,0,0
242,80,0,0,0
244,83,0,0,0
246,83,0,0,0
248,87,0,0,0
250,87,0,0,0
252,87,0,0,0
254,80,0,0,0
256,78,0,0,0
258,81,0,0,0
260,82,0,0,0
262,82,0,0,0
264,78,0,0,0
266,76,0,0,0
268,76,0,0,0
270,78,0,0,0
272,77,0,0,0
274,73,0,0,0
276,73,0,0,0
278,78,0,0,0
280,77,0,0,0
282,74,0,0,0
284,74,0,0,0
286,76,0,0,0
288,78,0,0,0
290,78,0,0,0
292,76,0,0,0
294,74,0,0,0
296,74,0,0,0
298,73,0,0,0
300,69,0,0,0
302,70,0,0,0
304,71,0,0,0
306,71,0,0,0
308,73,0,0,0
310,73,0,0,0
312,73,0,0,0
314,73,0,0,0
316,73,0,0,0
318,73,0,0,0
320,73,0,0,0
322,73,0,0,0
324,73,0,0,0
326,73,0,0,0
328,73,0,0,0
330,73,0,0,0
332,70,0,0,0
334,70,0,0,0
336,70,0,0,0
338,73,0,0,0
340,72,0,0,0
342,65,0,0,0
344,65,0,0,0
346,67,0,0,0
348,69,0,0,0
350,69,0,0,0
352,71,0,0,0
354,72,0,0,0
356,73,0,0,0
358,73,0,0,0
360,76,0,0,0
362,73,0,0,0
364,73,0,0,0
366,73,0,0,0
368,73,0,0,0
370,71,0,0,0
372,71,0,0,0
374,68,0,0,0
376,69,0,0,0
378,69,0,0,0
380,68,0,0,0
382,69,0,0,0
384,69,0,0,0
386,68,0,0,0
388,68,0,0,0
390,69,0,0,0
392,74,0,0,0
394,72,0,0,0
396,72,0,0,0
398,71,0,0,0
400,73,0,0,0
402,74,0,0,0
404,73,0,0,0
406,71,0,0,0
408,72,0,0,0
410,72,0,0,0
412,72,0,0,0
414,69,0,0,0
416,69,0,0,0
418,69,0,0,0
420,68,0,0,0
422,68,0,0,0
424,68,0,0,0
426,69,0,0,0
428,69,0,0,0
430,69,0,0,0
432,69,0,0,0
434,69,0,0,0
436,70,0,0,0
438,70,0,0,0
440,82,0,0,0
442,84,0,0,0
444,84,0,0,0
446,81,0,0,0
448,81,0,0,0
450,78,0,0,0
452,76,0,0,0
454,76,0,0,0
456,77,0,0,0
458,78,0,0,0
460,78,0,0,0
462,78,0,0,0
464,78,0,0,0
466,80,0,0,0
468,80,0,0,0
470,80,0,0,0
472,84,0,0,0
474,83,0,0,0
476,78,0,0,0
478,78,0,0,0
480,78,0,0,0
482,80,0,0,0
484,81,0,0,0
486,81,0,0,0
488,72,0,0,0
490,72,0,0,0
492,72,0,0,0
494,65,0,0,0
496,65,0,0,0
498,68,0,0,0
500,69,0,0,0
502,69,0,0,0
504,68,0,0,0
506,68,0,0,0
508,68,0,0,0
510,69,0,0,0
512,69,0,0,0
514,68,0,0,0
516,67,0,0,0
518,67,0,0,0
520,69,0,0,0
522,70,0,0,0
524,70,0,0,0
526,71,0,0,0
528,71,0,0,0
530,72,0,0,0
532,73,0,0,0
534,73,0,0,0
536,70,0,0,0
538,70,0,0,0
540,70,0,0,0
542,71,0,0,0
544,71,0,0,0
546,71,0,0,0
548,77,0,0,0
550,77,0,0,0
552,70,0,0,0
554,70,0,0,0
556,70,0,0,0
558,69,0,0,0
560,68,0,0,0
562,70,0,0,0
564,76,0,0,0
566,76,0,0,0
568,84,0,0,0
570,80,0,0,0
572,80,0,0,0
574,71,0,0,0
576,71,0,0,0
578,73,0,0,0
580,75,0,0,0
582,75,0,0,0
584,74,0,0,0
586,76,0,0,0
588,76,0,0,0
590,84,0,0,0
592,83,0,0,0
594,83,0,0,0
596,90,0,0,0
598,90,0,0,0
600,92,0,0,0
602,89,0,0,0
604,89,0,0,0
606,84,0,0,0
608,84,0,0,0
610,84,0,0,0
612,78,0,0,0
614,78,0,0,0
616,81,0,0,0
618,85,0,0,0
620,85,0,0,0
622,84,0,0,0
624,84,0,0,0
626,84,0,0,0
628,89,0,0,0
630,95,0,0,0
632,97,0,0,0
634,94,0,0,0
636,94,0,0,0
638,84,0,0,0
640,81,0,0,0
642,85,0,0,0
644,85,0,0,0
646,84,0,0,0
648,81,0,0,0
650,82,0,0,0
652,82,0,0,0
654,87,0,0,0
656,88,0,0,0
658,83,0,0,0
660,79,0,0,0
662,74,0,0,0
664,74,0,0,0
666,79,0,0,0
668,79,0,0,0
670,71,0,0,0
672,69,0,0,0
674,69,0,0,0
676,74,0,0,0
678,74,0,0,0
680,74,0,0,0
682,71,0,0,0
684,73,0,0,0
686,73,0,0,0
688,78,0,0,0
690,78,0,0,0
692,70,0,0,0
694,73,0,0,0
696,73,0,0,0
698,81,0,0,0
700,84,0,0,0
702,80,0,0,0
704,84,0,0,0
706,87,0,0,0
708,84,0,0,0
710,78,0,0,0
712,78,0,0,0
714,76,0,0,0
716,78,0,0,0
718,82,0,0,0
720,87,0,0,0
722,88,0,0,0
724,91,0,0,0
726,92,0,0,0
728,89,0,0,0
730,89,0,0,0
732,82,0,0,0
734,82,0,0,0
736,84,0,0,0
738,84,0,0,0
740,84,0,0,0
742,82,0,0,0
744,83,0,0,0
746,83,0,0,0
748,87,0,0,0
750,83,0,0,0
752,83,0,0,0
754,84,0,0,0
756,82,0,0,0
758,80,0,0,0
760,80,0,0,0
762,80,0,0,0
764,80,0,0,0
766,78,0,0,0
768,82,0,0,0
770,84,0,0,0
772,84,0,0,0
774,78,0,0,0
776,81,0,0,0
778,81,0,0,0
780,84,0,0,0
782,84,0,0,0
784,86,0,0,0
786,87,0,0,0
788,87,0,0,0
790,88,0,0,0
792,87,0,0,0
794,87,0,0,0
796,90,0,0,0
798,92,0,0,0
800,79,0,0,0
802,71,0,0,0
804,71,0,0,0
806,78,0,0,0
808,84,0,0,0
810,84,0,0,0
812,95,0,0,0
814,97,0,0,0
816,99,0,0,0
818,99,0,0,0
820,96,0,0,0
822,87,0,0,0
824,81,0,0,0
826,81,0,0,0
828,78,0,0,0
830,80,0,0,0
832,87,0,0,0
834,84,0,0,0
836,84,0,0,0
838,82,0,0,0
840,83,0,0,0
842,83,0,0,0
844,81,0,0,0
846,81,0,0,0
848,84,0,0,0
850,83,0,0,0
852,83,0,0,0
854,89,0,0,0
856,92,0,0,0
858,92,0,0,0
860,87,0,0,0
862,86,0,0,0
864,86,0,0,0
866,84,0,0,0
868,84,0,0,0
870,80,0,0,0
872,81,0,0,0
874,81,0,0,0
876,89,0,0,0
878,88,0,0,0
880,88,0,0,0
882,94,0,0,0
884,94,0,0,0
886,97,0,0,0
888,97,0,0,0
890,97,0,0,0
892,79,0,0,0
894,78,0,0,0
896,78,0,0,0
898,86,0,0,0
900,86,0,0,0
902,82,0,0,0
904,82,0,0,0
906,82,0,0,0
908,89,0,0,0
910,92,0,0,0
912,92,0,0,0
914,84,0,0,0
916,84,0,0,0
918,88,0,0,0
920,89,0,0,0
922,89,0,0,0
924,90,0,0,0
926,88,0,0,0
928,88,0,0,0
930,87,0,0,0
932,89,0,0,0
934,92,0,0,0
936,91,0,0,0
938,91,0,0,0
940,84,0,0,0
942,84,0,0,0
944,84,0,0,0
946,87,0,0,0
948,84,0,0,0
950,84,0,0,0
952,81,0,0,0
954,81,0,0,0
956,86,0,0,0
958,83,0,0,0
960,83,0,0,0
962,80,0,0,0
964,81,0,0,0
966,81,0,0,0
968,74,0,0,0
970,74,0,0,0
972,78,0,0,0
974,82,0,0,0
976,82,0,0,0
978,78,0,0,0
980,80,0,0,0
982,80,0,0,0
984,83,0,0,0
986,83,0,0,0
988,86,0,0,0
990,88,0,0,0
992,88,0,0,0
994,82,0,0,0
996,83,0,0,0
998,83,0,0,0
1000,86,0,0,0
1002,86,0,0,0
1004,87,0,0,0
1006,85,0,0,0
1008,85,0,0,0
1010,90,0,0,0
1012,92,0,0,0
1014,92,0,0,0
1016,87,0,0,0
1018,87,0,0,0
1020,87,0,0,0
1022,86,0,0,0
1024,86,0,0,0
1026,84,0,0,0
1028,84,0,0,0
1030,84,0,0,0
1032,83,0,0,0
1034,80,0,0,0
1036,80,0,0,0
1038,79,0,0,0
1040,81,0,0,0
1042,81,0,0,0
1044,97,0,0,0
1046,97,0,0,0
1048,101,0,0,0
1050,101,0,0,0
1052,101,0,0,0
1054,83,0,0,0
1056,74,0,0,0
1058,74,0,0,0
1060,80,0,0,0
1062,80,0,0,0
1064,82,0,0,0
1066,85,0,0,0
1068,85,0,0,0
1070,87,0,0,0
1072,88,0,0,0
1074,89,0,0,0
1076,89,0,0,0
1078,92,0,0,0
1080,95,0,0,0
1082,94,0,0,0
1084,94,0,0,0
1086,89,0,0,0
1088,88,0,0,0
1090,87,0,0,0
1092,87,0,0,0
1094,84,0,0,0
1096,86,0,0,0
1098,89,0,0,0
1100,89,0,0,0
1102,89,0,0,0
1104,89,0,0,0
1106,84,0,0,0
1108,84,0,0,0
1110,86,0,0,0
1112,88,0,0,0
1114,91,0,0,0
1116,91,0,0,0
1118,92,0,0,0
1120,93,0,0,0
1122,96,0,0,0
1124,97,0,0,0
1126,99,0,0,0
1128,94,0,0,0
1130,89,0,0,0
1132,89,0,0,0
1134,89,0,0,0
1136,89,0,0,0
1138,86,0,0,0
1140,83,0,0,0
1142,82,0,0,0
1144,85,0,0,0
1146,87,0,0,0
1148,87,0,0,0
1150,89,0,0,0
1152,92,0,0,0
1154,92,0,0,0
1156,91,0,0,0
1158,89,0,0,0
1160,89,0,0,0
1162,89,0,0,0
1164,89,0,0,0
1166,92,0,0,0
1168,89,0,0,0
1170,89,0,0,0
1172,79,0,0,0
1174,80,0,0,0
1176,84,0,0,0
1178,85,0,0,0
1180,85,0,0,0
1182,84,0,0,0
1184,80,0,0,0
1186,79,0,0,0
1188,78,0,0,0
1190,77,0,0,0
1192,77,0,0,0
1194,78,0,0,0
1196,79,0,0,0
1198,77,0,0,0
1200,76,0,0,0
1202,76,0,0,0
1204,81,0,0,0
1206,84,0,0,0
1208,79,0,0,0
1210,74,0,0,0
1212,72,0,0,0
1214,74,0,0,0
1216,76,0,0,0
1218,76,0,0,0
1220,73,0,0,0
1222,76,0,0,0
1224,76,0,0,0
1226,83,0,0,0
1228,82,0,0,0
1230,74,0,0,0
