[Timex Trainer Data File]
[session data]
version=1.0
Sessiondate=1/2/2005 8:27:02 PM
sportName=Running
sportID=3
distanceunit=mi
avgspeedunit=0
maxspeedunit=0
avgpaceunits=0
maxpaceunits=0
distance=5.21
duration=2580
description=Sample Workout - Speed & Distance Only
sessionType=1
maxHR=0
maxSpeed=18.1
avgHR=0
avgSpeed=6.9
fromDataRecorder=True
TimeZone1=0
TimeZone2=0
TimeZone3=0
TimeZone4=0
TimeZone5=0

[recorded]
duration(s),hr,speed(mph),distance(mi),data_flag
0,0,7.6,0,1
3.57,0,7.8,0.008,1
7.14,0,7.9,0.016,1
10.71,0,6.9,0.023,1
14.28,0,6.8,0.031,1
17.85,0,6.3,0.038,1
21.42,0,6.3,0.044,1
24.99,0,6.2,0.05,1
28.56,0,5.9,0.057,1
32.13,0,6,0.064,1
35.7,0,6.3,0.071,1
39.27,0,6.6,0.078,1
42.84,0,6.9,0.086,1
46.41,0,7,0.093,1
49.98,0,7.3,0.101,1
53.55,0,7.5,0.109,1
57.12,0,7.6,0.118,1
60.69,0,7.8,0.126,1
64.26,0,7.8,0.134,1
67.83,0,7.9,0.143,1
71.4,0,7.3,0.151,1
74.97,0,6.9,0.158,1
78.54,0,6.7,0.166,1
82.11,0,7.7,0.175,1
85.68,0,7.1,0.183,1
89.25,0,7.4,0.191,1
92.82,0,7.7,0.199,1
96.39,0,7.8,0.207,1
99.96,0,7.8,0.215,1
103.53,0,7.7,0.222,1
107.1,0,7.8,0.23,1
110.67,0,7.8,0.238,1
114.24,0,7.6,0.246,1
117.81,0,7.5,0.254,1
121.38,0,8.9,0.262,1
124.95,0,8.6,0.271,1
128.52,0,8,0.279,1
132.09,0,7.8,0.287,1
135.66,0,6.7,0.295,1
139.23,0,7.8,0.304,1
142.8,0,7.4,0.312,1
146.37,0,8,0.321,1
149.94,0,7.7,0.33,1
153.51,0,7.6,0.338,1
157.08,0,7.6,0.346,1
160.65,0,7.4,0.354,1
164.22,0,8,0.363,1
167.79,0,7.8,0.371,1
171.36,0,7.8,0.379,1
174.93,0,7.5,0.387,1
178.5,0,7.6,0.394,1
182.07,0,7.1,0.402,1
185.64,0,7,0.409,1
189.21,0,7.1,0.416,1
192.78,0,7,0.423,1
196.35,0,6.9,0.431,1
199.92,0,7,0.438,1
203.49,0,7.1,0.446,1
207.06,0,7.2,0.454,1
210.63,0,7.1,0.461,1
214.2,0,7.1,0.468,1
217.77,0,6.9,0.476,1
221.34,0,6.9,0.483,1
224.91,0,6.9,0.49,1
228.48,0,7.4,0.499,1
232.05,0,7.5,0.508,1
235.62,0,7.3,0.517,1
239.19,0,8,0.526,1
242.76,0,8,0.535,1
246.33,0,8.7,0.545,1
249.9,0,8.6,0.555,1
253.47,0,6.9,0.564,1
257.04,0,8.1,0.573,1
260.61,0,8.2,0.581,1
264.18,0,8,0.59,1
267.75,0,8.3,0.598,1
271.32,0,8.4,0.607,1
274.89,0,8.5,0.615,1
278.46,0,8.5,0.624,1
282.03,0,8.4,0.632,1
285.6,0,8.2,0.641,1
289.17,0,8.2,0.649,1
292.74,0,7.6,0.657,1
296.31,0,7,0.664,1
299.88,0,7.1,0.672,1
303.45,0,6.7,0.679,1
307.02,0,6.7,0.686,1
310.59,0,7.9,0.694,1
314.16,0,8.5,0.703,1
317.73,0,8.4,0.711,1
324.87,0,7.4,0.727,1
328.44,0,7.4,0.735,1
332.01,0,7.4,0.742,1
335.58,0,7.7,0.75,1
339.15,0,7.8,0.758,1
342.72,0,7.8,0.767,1
346.29,0,8.3,0.776,1
349.86,0,8.4,0.785,1
353.43,0,8.4,0.795,1
357,0,7.7,0.804,1
360.57,0,7.9,0.813,1
364.14,0,9.4,0.823,1
367.71,0,8.7,0.833,1
371.28,0,8.6,0.842,1
374.85,0,8.4,0.852,1
378.42,0,8.4,0.861,1
381.99,0,8.5,0.87,1
385.56,0,8.2,0.879,1
389.13,0,8.1,0.887,1
392.7,0,8,0.895,1
396.27,0,7.7,0.903,1
399.84,0,7.9,0.911,1
403.41,0,8.1,0.92,1
406.98,0,7.7,0.927,1
410.55,0,7.6,0.935,1
414.12,0,7.2,0.943,1
417.69,0,7.2,0.95,1
421.26,0,7.2,0.958,1
424.83,0,7.5,0.966,1
428.4,0,7.2,0.974,1
431.97,0,7.5,0.982,1
435.54,0,7.5,0.989,1
439.11,0,7.6,0.998,1
442.68,0,8.7,1.007,1
446.25,0,8.8,1.016,1
